"Pays";"Institution";Nombre;"Etat";"Mise à jour";"Selection";"Traduction";"Plus ancien";"Plus récent";"Licence"
"Belgique";"Cour de cassation";2938;"E";"Q";"P";"";"07/04/1995";"22/10/2012";"Non"
"Bénin";"Cour suprême";2612;"E";"S";"P";"";"28/02/1962";"14/03/2008";"ODBL/AHJUCAF"
"Bulgarie";"Cour suprême de cassation";22;"T";"P";"R";"";"07/10/2002";"23/04/2007";"ODBL/AHJUCAF"
"Burkina Faso";"Cour de cassation";240;"E";"S";"P";"";"13/01/1998";"01/06/2007";"ODBL/AHJUCAF"
"Burundi";"Cour suprême";25;"T";"P";"R";"Kirundi";"03/10/1977";"16/12/2005";"ODBL/AHJUCAF"
"Cambodge";"Conseil constitutionnel";58;"T";"P";"R";"Khmer";"26/12/2002";"16/03/2009";"Non"
"Cameroun";"Cour suprême";16;"E";"S";"R";"";"20/08/1992";"27/10/2005";"ODBL/AHJUCAF"
"Cameroun";"Tribunal de première instance de yaoundé";1;"E";"S";"R";"";"20/01/2001";"20/01/2001";"Non"
"Canada";"Cour suprême";4228;"E";"Q";"P";"";"09/10/1964";"12/10/2012";"Non"
"CEDEAO";"Cour de justice";2;"E";"A";"P";"";"27/10/2008";"08/11/2010";"ODBL/AHJUCAF"
"CEMAC";"Cour de justice";19;"E";"A";"P";"";"13/12/2001";"30/11/2006";"ODBL/AHJUCAF"
"Congo";"Cour suprême";16;"E";"I";"R";"";"28/09/2000";"02/12/2006";"ODBL/AHJUCAF"
"Congo démocratique";"Cour suprême de justice";15;"E";"I";"R";"";"27/02/1986";"02/11/1990";"ODBL/AHJUCAF"
"Conseil de l'Europe";"Cour européenne des droits de l'homme";6316;"E";"I";"P";"";"14/11/1960";"24/07/2012";"Non"
"Côte d'Ivoire";"Cour suprême";7;"E";"P";"P";"";"06/01/2005";"10/02/2005";"Non"
"Côte d'Ivoire";"Tribunal de premiere instance d'abidjan";2;"E";"P";"P";"";"22/02/2001";"22/02/2001";"Non"
"France";"Conseil constitutionnel";4240;"E";"Q";"P et I";"";"22/11/1958";"28/09/2012";"Légifrance"
"France";"Conseil d'État";134253;"E";"Q";"P et I";"";"19/02/1875";"15/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Bordeaux";33342;"E";"Q";"P et I";"";"21/02/1989";"08/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Douai";10875;"E";"Q";"P et I";"";"07/10/1999";"30/10/2012";"Légifrance"
"France";"Cour administrative d'appel de Lyon";20166;"E";"Q";"P et I";"";"16/02/1989";"13/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Marseille";27509;"E";"Q";"P et I";"";"08/11/1997";"08/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Montpellier";1;"E";"Q";"P et I";"";"21/11/2000";"21/11/2000";"Légifrance"
"France";"Cour administrative d'appel de Nancy";22063;"E";"Q";"P et I";"";"07/02/1989";"08/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Nantes";25289;"E";"Q";"P et I";"";"22/02/1989";"06/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Nice";1;"E";"Q";"P et I";"";"21/11/2000";"21/11/2000";"Légifrance"
"France";"Cour administrative d'appel de Paris";24795;"E";"Q";"P et I";"";"31/01/1989";"12/11/2012";"Légifrance"
"France";"Cour administrative d'appel de Versailles";11374;"E";"Q";"P et I";"";"12/10/2004";"13/11/2012";"Légifrance"
"France";"Cour d'appel de Limoges";1;"E";"Q";"P et I";"";"14/03/2011";"14/03/2011";"Légifrance"
"France";"Cour de cassation";418902;"E";"Q";"P et I";"";"29/09/1805";"08/11/2012";"Légifrance"
"France";"Cour de discipline budgétaire et financière";68;"E";"Q";"P et I";"";"09/12/1986";"19/04/2000";"Légifrance"
"France";"Tribunal administratif d'Amiens";185;"E";"Q";"P et I";"";"27/01/1971";"30/06/2000";"Légifrance"
"France";"Tribunal administratif de Basse-Terre";6;"E";"Q";"P et I";"";"27/12/1974";"09/01/1981";"Légifrance"
"France";"Tribunal administratif de Bastia";6;"E";"Q";"P et I";"";"25/01/1985";"20/12/1985";"Légifrance"
"France";"Tribunal administratif de Besançon";59;"E";"Q";"P et I";"";"03/03/1967";"18/06/1998";"Légifrance"
"France";"Tribunal administratif de Bordeaux";121;"E";"Q";"P et I";"";"24/09/1965";"17/10/1996";"Légifrance"
"France";"Tribunal administratif de Caen";69;"E";"Q";"P et I";"";"21/03/1967";"14/05/1996";"Légifrance"
