"Pays";"Institution";"Nombre";analyses;sens_arret;decisions_attaquees;parties;references;nor;ecli;type_affaire;type_recours;president;avocat_gl;rapporteur;commissaire_gvt;avocats;saisines
"Belgique";"Cour de cassation";2938;611;28;28;28;247;0;0;0;0;0;0;0;0;0;0
"Bénin";"Cour suprême";2612;800;691;820;1199;2;0;0;0;0;0;0;0;0;0;0
"Bulgarie";"Cour suprême de cassation";22;12;9;7;7;0;0;0;0;0;0;0;0;0;0;0
"Burkina Faso";"Cour de cassation";240;0;1;3;3;227;0;0;0;0;0;0;0;0;0;0
"Burundi";"Cour suprême";25;16;7;17;22;8;0;0;0;0;0;0;0;0;0;0
"Cambodge";"Conseil constitutionnel";58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cameroun";"Cour suprême";16;5;4;6;6;0;0;0;0;0;0;0;0;0;0;0
"Cameroun";"Tribunal de première instance de yaoundé";1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"Canada";"Cour suprême";4228;3820;3110;0;4159;4228;0;0;0;0;0;0;0;0;0;0
"CEDEAO";"Cour de justice";2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"CEMAC";"Cour de justice";19;14;0;1;18;1;0;0;0;0;0;0;0;0;0;0
"Congo";"Cour suprême";16;5;3;5;5;0;0;0;0;0;0;0;0;0;0;0
"Congo démocratique";"Cour suprême de justice";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Conseil de l'Europe";"Cour européenne des droits de l'homme";6316;5235;0;0;6316;1381;0;0;6315;6314;0;0;0;0;0;0
"Côte d'Ivoire";"Cour suprême";7;0;7;7;7;0;0;0;0;0;0;0;0;0;0;0
"Côte d'Ivoire";"Tribunal de premiere instance d'abidjan";2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0
"France";"Conseil constitutionnel";4240;0;3928;4240;0;4240;3009;4225;4240;0;0;0;0;0;0;456
"France";"Conseil d'État";134253;104923;43775;0;0;134250;0;134243;134253;79360;67469;0;122392;127783;22649;0
